ID,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,ADDRESS,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
2200001,Owner,0,0,2,BHK,1300.236407,1,1,"Ksfc Layout,Bangalore",12.96991,77.59796,55
2200002,Dealer,0,0,2,BHK,1275,1,1,"Vishweshwara Nagar,Mysore",12.274538,76.644605,51
2200003,Owner,0,0,2,BHK,933.1597222,1,1,"Jigani,Bangalore",12.778033,77.632191,43
2200004,Owner,0,1,2,BHK,929.9211427,1,1,"Sector-1 Vaishali,Ghaziabad",28.6423,77.3445,62.5
2200005,Dealer,1,0,2,BHK,999.009247,0,1,"New Town,Kolkata",22.5922,88.484911,60.5
2200006,Owner,0,0,3,BHK,1250,1,1,"South Chittoor,Kochi",10.03328,76.282571,42
2200007,Dealer,0,0,3,BHK,1495.053957,1,1,"Sodala,Jaipur",26.916347,75.7956,66.5
2200008,Owner,0,1,3,BHK,1181.012946,1,1,"Kharar,Mohali",30.74,76.65,52
2200009,Dealer,0,1,2,BHK,1040,1,1,"Bileshivale,Bangalore",13.054202,77.674002,41.6
2200010,Owner,0,1,2,BHK,879.1208791,1,1,"Chromepet,Chennai",12.95161,80.14097,36
2200011,Owner,0,0,3,BHK,1350.308642,1,1,"Deshbandhu Para,Siliguri",26.724219,88.326357,35
2200012,Dealer,0,0,2,BHK,1333.010179,1,1,"Hebbal,Bangalore",13.04034,77.591347,110
2200013,Owner,0,0,2,BHK,927.1779023,1,1,"Garebhavipalya,Bangalore",12.96991,77.59796,48
2200014,Owner,0,1,2,BHK,1122.171946,1,1,"Sector-119 Noida,Noida",28.587711,77.403123,62
2200015,Owner,0,0,1,BHK,649.9837504,1,1,"sanjay nagar,Raigad",13.0352,77.5772,20
2200016,Dealer,1,1,3,BHK,1394.117647,0,1,"Sector-150 Noida,Noida",28.429614,77.481711,71.1
2200017,Owner,0,0,3,BHK,1800.08471,1,1,"Jharapada,Bhubaneswar",20.275267,85.862407,85
2200018,Dealer,1,1,3,BHK,2124.896706,0,1,"Konanakunte,Bangalore",12.8855,77.5638,180
2200019,Owner,0,0,2,BHK,1100,1,1,"Nagpur Road,Wardha",21.15389,79.08306,22
2200020,Dealer,0,1,3,BHK,2178.649237,1,1,"Kogilu,Bangalore",13.092356,77.613468,120
2200021,Owner,0,0,2,BHK,881.1435285,1,1,"Poonamallee,Chennai",13.05,80.11,45
2200022,Dealer,0,0,2,BHK,944.8818898,1,1,"Undri,Pune",18.452663,73.93104,42
2200023,Dealer,0,1,3,BHK,1310.147689,1,1,"Sector-134 Noida,Noida",28.5041,77.381557,55
2200024,Dealer,0,0,1,BHK,630.00063,1,1,"Bandra (West),Mumbai",19.05444,72.84056,300
2200025,Dealer,0,0,2,BHK,1219.80971,1,1,"Narendra Nagar,Nagpur",21.105779,79.078497,50
2200026,Owner,0,0,2,BHK,780.141844,1,1,"Kudgat,Kolkata",22.54111,88.33778,27.5
2200027,Owner,0,0,3,BHK,1600,1,1,"Sain Vihar,Ghaziabad",28.63601,77.433724,46
2200028,Dealer,0,0,2,BHK,1180.412371,1,1,"Sector-115 Mohali,Mohali",30.712867,76.648557,22.9
2200029,Owner,1,0,2,BHK,1000,0,1,"Mohan Asram,Deoghar",24.48,86.7,39
2200030,Dealer,0,0,2,BHK,1000,1,1,"Alwar Bypass Road,Bhiwadi",28.2102,76.8606,12.5
2200031,Dealer,0,0,3,BHK,1400.107701,1,1,"Sector 84 Faridabad,Faridabad",28.40473,77.367514,52
